name,danceability,loudness,speechiness,acousticness,liveness
Message In A Bottle - Remastered 2003,0.577,-7.04,0.039,0.0338,0.221
Midnight Sun,0.614,-3.61,0.199,0.0574,0.086
Mil Sonidos,0.221,-17.59,0.0362,0.958,0.102
Mind-wanders,0.312,-25.607,0.0437,0.959,0.111
Mindfulness,0.692,-34.388,0.0553,0.992,0.0452
Minus,0.244,-12.966,0.0296,0.501,0.105
Miss You - Remastered,0.795,-4.746,0.0392,0.443,0.344
Misty Mornings,0.522,-24.89,0.0424,0.981,0.361
Momentum,0.636,-17.313,0.0309,0.891,0.106
Montana,0.435,-17.456,0.0435,0.913,0.104
Monumental,0.491,-6.805,0.0521,0.916,0.177
Morning Shimmer,0.449,-16.409,0.0361,0.58,0.114
Moulain (Revisited 432hz),0.424,-27.586,0.0287,0.972,0.103
Movies,0.0903,-8.929,0.0337,0.646,0.106
Mr. Blue Sky,0.388,-10.054,0.0328,0.652,0.248
Mr. Jones,0.578,-6.542,0.0363,0.183,0.285
Mudshovel,0.328,-5.085,0.0362,0.000224,0.0818
"Murder Song (5, 4, 3, 2, 1) - Acoustic",0.398,-13.683,0.0334,0.902,0.0873
My Favourite Game,0.594,-7.598,0.0327,0.000156,0.086
My Hero,0.364,-4.224,0.0659,6.01E-05,0.0603
My Own Worst Enemy,0.494,-2.757,0.0637,0.00129,0.398
My Sharona,0.586,-9.558,0.0363,0.0589,0.0318
My Way - Marcus Santoro Remix,0.563,-4.755,0.0596,0.0122,0.0641
Mykki,0.665,-7.301,0.0667,0.336,0.327
Nazareth,0.378,-31.001,0.0552,0.995,0.104
Need You - Ed. & Gustav Munk Remix,0.656,-7.693,0.0366,0.00352,0.345
Never Be Lonely (feat. Envy Monroe),0.587,-3.904,0.0654,0.207,0.64
Never Letting Go,0.534,-3.151,0.0338,0.0915,0.225
Never My Love,0.764,-16.201,0.0383,0.666,0.0967
Night,0.428,-32.837,0.0753,0.995,0.0913
Night Moves,0.705,-6.631,0.042,0.432,0.103
Night Surrender,0.211,-25.787,0.0396,0.993,0.0996
Night on Earth,0.268,-7.219,0.0321,0.0656,0.123
No More 54,0.541,-5.682,0.0529,0.000492,0.103
No One Knows,0.509,-4.902,0.0615,0.0329,0.359
No Time To Die,0.38,-13.273,0.0358,0.917,0.0827
No Woman,0.581,-8.739,0.0291,0.893,0.161
Nobody,0.877,-13.987,0.102,0.776,0.107
North,0.522,-28.022,0.0441,0.994,0.0949
North Captiva,0.479,-17.916,0.0306,0.918,0.111
Not Alone,0.68,-6.21,0.0355,0.00538,0.0679
Nowhere Kids,0.511,-5.31,0.0457,0.000106,0.195
Oceans,0.404,-8.906,0.0303,0.274,0.132
October Rain,0.187,-29.31,0.0418,0.992,0.0925
Old Rain on a New Day,0.286,-16.496,0.0346,0.971,0.134
Older Than I Am,0.44,-8.947,0.0363,0.891,0.103
On Another Ocean (January / June),0.284,-6.512,0.0285,0.155,0.0933
On My Way (feat. Jordan Kaahn),0.661,-4.208,0.0617,0.0188,0.0919
One More Night,0.62,-3.595,0.086,0.00402,0.108
One Night - D.O.D Remix,0.681,-1.394,0.0702,0.00732,0.219
One Step Closer,0.492,-4.419,0.0491,0.0014,0.0787
Only,0.373,-15.52,0.0303,0.906,0.109
Only You,0.545,-14.844,0.0311,0.362,0.0841
Open Fields,0.491,-19.261,0.0298,0.97,0.214
Open Skies,0.56,-7.807,0.0274,0.00104,0.123
Orbits,0.438,-13.924,0.039,0.855,0.11
Our Lady of Sorrows,0.271,-6.81,0.0785,0.00099,0.182
Out Of Control,0.443,-4.386,0.133,0.00161,0.353
Out Of Control - Pat Vocal Mix,0.864,-6.117,0.043,0.00875,0.41
Out of Control,0.328,-5.992,0.0296,0.0041,0.069
Out of the Deep,0.2,-32.285,0.0499,0.992,0.0929
Outside,0.637,-7.432,0.0272,0.0925,0.156
Over My Head (Better Off Dead),0.44,-4.462,0.0735,0.00222,0.0892
Pain,0.523,-4.374,0.0405,0.00387,0.0841
Panoramic Feelings (Piano Version),0.25,-24.348,0.0373,0.991,0.0853
Papercut,0.524,-3.994,0.113,0.00022,0.623
Paperthin Hymn,0.298,-12.107,0.0343,0.00111,0.0819
Parabel,0.354,-32.492,0.0388,0.976,0.0957
Paradise,0.449,-6.762,0.0268,0.0522,0.0833
Paralyzer,0.646,-3.453,0.0448,0.159,0.235
Pass The Hours,0.778,-5.985,0.0292,0.179,0.322
Path to Serenity,0.134,-19.866,0.0352,0.961,0.109
People Are Strange - Festival Mix,0.636,-5.671,0.091,0.00222,0.598
People Help the People,0.407,-9.001,0.0296,0.778,0.092
Petrichor,0.319,-16.69,0.0373,0.937,0.167
"Piano Sonata No. 14 In C Sharp Minor, Op. 27-2 1st Mvt: Adagio Sostenuto",0.274,-41.45,0.0424,0.995,0.175
Pierre,0.356,-24.949,0.0407,0.989,0.135
Pink Rupture,0.736,-8.676,0.0405,0.00178,0.0925
Placidity,0.261,-18.526,0.0339,0.474,0.0882
Planet,0.549,-23.059,0.0332,0.988,0.111
Play The Ghost,0.118,-19.274,0.0427,0.911,0.106
Poem,0.364,-2.968,0.107,0.000104,0.086
Points of Authority,0.512,-3.886,0.212,0.03,0.0994
Polyamorous,0.544,-6.207,0.0522,0.000132,0.147
Pour Les Oiseaux,0.376,-19.815,0.0423,0.965,0.099
Prayer Of The Refugee,0.198,-3.499,0.173,0.00131,0.23
Prelude,0.306,-27.607,0.0535,0.996,0.0909
Prelude 6 - Pt. 1,0.134,-31.537,0.0426,0.992,0.117
Prelude in F,0.461,-24.315,0.0363,0.968,0.113
Presence,0.616,-16.837,0.0423,0.966,0.0955
Pressure,0.708,-4.001,0.0606,0.00885,0.285
Promise,0.62,-4.096,0.0327,0.00791,0.0769
Pumped Up Kicks,0.733,-5.849,0.0292,0.145,0.0956
Quick Canal (W/ Laetita Sadier),0.299,-10.641,0.0513,0.169,0.132
Quiet Room,0.374,-21.842,0.0517,0.995,0.119
"Quiet, The Winter Harbor",0.321,-17.737,0.0329,0.973,0.0888
Raven's Feather - Piano Solo,0.594,-19.409,0.0472,0.988,0.109
Rayons de soleil,0.315,-22.435,0.0423,0.987,0.104
Reality,0.651,-6.154,0.0588,0.000934,0.112
Rebuscano,0.416,-29.145,0.0451,0.99,0.101
Recording 15,0.552,-18.014,0.0306,0.956,0.109
Reinventing Your Exit,0.45,-4.198,0.0637,0.000124,0.361
Remains,0.157,-23.545,0.051,0.991,0.184
Renee's Song,0.593,-8.888,0.0307,0.794,0.167
Renegades Of Funk,0.651,-4.019,0.0577,0.00184,0.384
Rescue Me,0.494,-4.61,0.0427,0.069,0.0664
Retrospectacular,0.368,-16.379,0.0346,0.81,0.11
Revitalize,0.597,-15.743,0.0342,0.95,0.0966
Ring The Alarm - Stadiumx Remix,0.625,-1.689,0.0501,0.00032,0.767
Rise (ft. Matluck) - Thomas Gold Remix,0.501,-4.292,0.0417,0.0071,0.155
River,0.304,-10.52,0.0285,0.73,0.118
Riverside,0.648,-13.474,0.0311,0.985,0.134
"Rocket Man (I Think It's Going To Be A Long, Long Time)",0.601,-9.119,0.0286,0.432,0.0925
Romance,0.716,-12.444,0.0718,0.884,0.138
Roses,0.751,-5.645,0.0545,0.0481,0.107
Rusted From the Rain,0.431,-3.533,0.0306,0.000481,0.385
Rylan,0.609,-5.565,0.0468,0.403,0.0446
Sad Corny Fuck,0.604,-15.383,0.0339,0.835,0.162
Sadness,0.35,-24.271,0.0441,0.991,0.1
Sahara Love - Seven Lions Remix,0.275,-5.631,0.039,0.0418,0.079
Same Direction,0.401,-3.308,0.0916,0.00492,0.4
Samson,0.49,-9.544,0.0421,0.862,0.113
Saving Daylight,0.526,-13.755,0.0296,0.456,0.0935
Savior,0.339,-3.425,0.062,0.0015,0.425
Say Days Ago,0.362,-4.262,0.205,0.00022,0.459
Schloss,0.438,-21.944,0.0411,0.968,0.0935
Secrets,0.743,-4.822,0.0519,0.762,0.0939
Send It,0.646,-5.312,0.101,0.0199,0.38
Send Me on My Way,0.5,-9.556,0.0672,0.114,0.139
Seven Nation Army,0.745,-7.62,0.0864,0.00666,0.272
She Kind of Looks Like You,0.9,-12.664,0.221,0.632,0.0953
She Remembers (Piano Solo),0.619,-26.572,0.0369,0.996,0.0812
Shifts Of Light,0.455,-20.107,0.0363,0.931,0.0839
Shimmer,0.263,-6.514,0.054,0.00192,0.15
Shine,0.428,-3.499,0.0566,0.0259,0.668
Should Have Known Better,0.571,-20.7,0.0318,0.979,0.124
Should I Stay or Should I Go - Remastered,0.742,-6.441,0.111,0.0838,0.418
Silhouette,0.445,-5.981,0.0291,0.173,0.0998
Silver Lining,0.317,-20.574,0.0302,0.986,0.111
Simple Song,0.631,-11.125,0.0286,0.616,0.0892
Sinking Man - The Walking Dead Soundtrack,0.684,-18.052,0.0522,0.905,0.0789
Sintra,0.395,-19.174,0.051,0.984,0.0724
Siren Song - Radio Edit,0.71,-7.417,0.0345,0.00891,0.177
Skinny Love,0.592,-14.031,0.0449,0.842,0.088
Sleep,0.55,-8.962,0.0335,0.843,0.15
Slow It Down,0.423,-14.421,0.0386,0.928,0.0922
Smile,0.632,-5.938,0.0259,0.00143,0.221
Smooth Criminal,0.653,-4.236,0.0598,0.00287,0.143
Snowfall,0.437,-20.209,0.0648,0.984,0.109
Solitude,0.342,-26.999,0.0355,0.995,0.131
Some Kind Of Love,0.246,-9.949,0.0359,0.713,0.102
Somebody - Josef Bamba Remix Radio Edit,0.67,-6.419,0.044,0.00162,0.261
Somebody That I Used To Know,0.865,-6.932,0.0371,0.548,0.0989
Someday,0.572,-10.067,0.0331,0.265,0.109
Someone Like You,0.554,-8.251,0.028,0.893,0.0996
Someone New,0.655,-5.29,0.0765,0.00297,0.1
Somewhere Only We Know,0.472,-11.465,0.0295,0.84,0.142
Son of a Lady,0.272,-13.724,0.0338,0.895,0.0764
"Song to the Siren - Recorded at Strongroom Studios, London",0.371,-11.116,0.0294,0.963,0.124
South Beach,0.501,-3.941,0.0424,0.0303,0.114
Spirit In The Sky,0.537,-7.048,0.0347,0.0939,0.11
Start Me Up - Remastered,0.631,-4.142,0.0354,0.0436,0.0918
Stay,0.618,-10.5,0.0543,0.883,0.123
Stay Here,0.432,-3.901,0.0425,0.0149,0.362
Stay Home,0.234,-21.752,0.0376,0.992,0.148
Stay Still,0.382,-26.271,0.0574,0.987,0.0921
"Steady, As She Goes",0.534,-4.366,0.113,0.00865,0.0781
Still Alive,0.65,-4.278,0.055,0.3,0.306
Still Waiting to Start,0.615,-10.161,0.0295,0.639,0.15
Stormy Weather,0.444,-9.324,0.0397,0.00308,0.0915
Story Of A Violin,0.548,-6.835,0.0881,0.0125,0.818
Strange Dreams,0.308,-26.941,0.0406,0.988,0.0935
Streets,0.376,-5.8,0.0422,0.000874,0.274
Stricken,0.404,-2.938,0.195,8.51E-05,0.268
Stuck In The Middle With You,0.795,-10.482,0.0392,0.0934,0.0631
Stupify,0.597,-3.001,0.0446,0.00108,0.201
Such Great Heights,0.61,-10.644,0.028,0.808,0.403
Suds & Soda,0.149,-7.93,0.052,8.51E-05,0.0903
Suhpratti,0.564,-15.118,0.0338,0.974,0.114
Summer Boredom,0.496,-24.864,0.0372,0.994,0.0813
Summer-Blink,0.491,-6.741,0.0274,0.168,0.166
Sun In Our Eyes - Don Diablo Remix,0.699,-3.09,0.173,0.0589,0.0794
Sunspots,0.379,-13.923,0.0411,0.00565,0.077
Supermarket,0.588,-9.624,0.0403,0.812,0.126
Supersonic (feat. Christian Burns),0.34,-3.864,0.131,0.00814,0.385
Superstition,0.648,-8.582,0.0806,0.0182,0.0418
Surrender,0.39,-8.57,0.0276,0.8,0.107
Swerve City,0.457,-2.963,0.0656,0.0001,0.67
Take Everything,0.506,-5.272,0.0424,0.0234,0.303
Take on Me,0.573,-7.638,0.054,0.018,0.0928
Takeoff,0.44,-12.011,0.0323,0.625,0.0823
Talking In Your Sleep,0.72,-4.434,0.0343,0.0289,0.142
Target,0.55,-16.049,0.0295,0.714,0.0815
Teardrop - Remastered 2006,0.612,-7.653,0.035,0.0204,0.183
Teardrops - Single Version,0.879,-10.577,0.046,0.037,0.18
Tears Don't Fall,0.212,-3.378,0.14,0.000725,0.081
Teenage Dirtbag,0.625,-3.904,0.0495,0.346,0.174
Tegel,0.233,-25.616,0.0456,0.993,0.105
Telling Tales,0.425,-11.806,0.0287,0.0262,0.206
Thank You for the Venom,0.486,-3.463,0.0603,0.00237,0.298
The A Team,0.626,-9.933,0.0374,0.678,0.134
The Boys Are Back In Town,0.319,-9.742,0.0535,0.242,0.294
The Calvary Cross,0.661,-10.317,0.0312,0.675,0.104
The Choice,0.303,-30.932,0.0493,0.909,0.116
The Dazzler,0.775,-11,0.0461,0.343,0.0866
The Disappearance of the Unmoved Mover,0.627,-11.498,0.0283,0.879,0.0977
The Discovery,0.414,-22.097,0.0383,0.827,0.0919
The Dreamer,0.235,-18.9,0.0335,0.983,0.0823
The Five Times I Loved You,0.41,-21.814,0.0327,0.988,0.109
The Funeral,0.316,-5.285,0.0422,0.0143,0.0928
The Good in Goodbye (Alternate Version),0.709,-9.001,0.0297,0.59,0.111
The Hardest Button To Button,0.692,-8.488,0.0678,0.0097,0.103
The Hell Song,0.343,-5.073,0.0739,0.000135,0.143
The Hummingbird,0.478,-4.983,0.0334,2.27E-05,0.326
The Hunger,0.436,-9.76,0.0359,0.0402,0.148
The Joker,0.596,-9.616,0.0396,0.365,0.206
The King (with Dzeko),0.655,-4.614,0.0324,0.0587,0.145
The Message,0.64,-9.919,0.0326,0.00278,0.337
The Mind's Eye,0.376,-12.678,0.0362,0.000708,0.359
The Night We Met,0.443,-9.514,0.0441,0.969,0.638
The Night We Met - Rework,0.506,-19.948,0.0442,0.992,0.123
The Safety Dance,0.524,-4.479,0.0468,0.0252,0.101
The Snail’s Teachings II: The Wonders of,0.334,-27.24,0.0416,0.944,0.105
The Temporary,0.549,-8.288,0.0261,0.292,0.122
The Times Are Tired,0.216,-14.026,0.0382,0.792,0.102
The Wall,0.682,-2.314,0.0431,0.00953,0.0732
There For You,0.533,-5.04,0.0302,0.00529,0.0722
Thin White Duchess,0.537,-8.194,0.0374,0.115,0.243
Thirteen Thirty-Five,0.67,-10.56,0.0486,0.786,0.215
This Reminds You - Satie Remix,0.258,-23.782,0.0381,0.87,0.148
Throw Me a Bone,0.516,-10.55,0.0331,0.585,0.168
Tilted Towers,0.702,-5.059,0.0331,0.000771,0.28
Time Out,0.695,-17.043,0.0399,0.988,0.133
Time Travel,0.502,-17.378,0.0307,0.965,0.153
Tiptoeing,0.467,-23.087,0.043,0.986,0.101
To Build A Home,0.264,-15.399,0.0349,0.885,0.094
To The Hilt,0.327,-13.949,0.0525,0.948,0.0945
To the Moon,0.703,-14.859,0.0428,0.356,0.0715
Tomorrow,0.325,-24.493,0.0527,0.964,0.118
Toxic,0.555,-6.063,0.154,3.01E-05,0.0661
Transatlanticism,0.443,-9.209,0.0302,0.393,0.165
Trastevere,0.42,-14.843,0.0423,0.886,0.0841
Trees - Solo Piano,0.282,-25.816,0.053,0.957,0.0996
Trying My Best,0.561,-17.819,0.0762,0.95,0.0828
Tu Vois,0.351,-23.17,0.0543,0.995,0.0803
Tubthumping,0.319,-7.244,0.14,0.118,0.364
Tuesday,0.323,-30.328,0.0384,0.99,0.0891
Twist And Shout - Remastered 2009,0.482,-9.198,0.0452,0.641,0.0414
Two Princes,0.543,-10.71,0.0601,0.00162,0.0565
UFOF,0.623,-9.241,0.0309,0.638,0.143
Under A Killing Moon,0.414,-3.703,0.0786,7.12E-06,0.0709
Understudy,0.494,-16.818,0.0325,0.983,0.0746
Underwater - Tinlicker Remix,0.627,-8.253,0.0402,0.0607,0.132
Unintended,0.487,-11.586,0.0265,0.647,0.11
United,0.643,-5.026,0.0892,0.0565,0.0763
Universe,0.623,-18.953,0.0478,0.994,0.192
Unmade,0.186,-12.141,0.0368,0.974,0.0672
Up Against (Blackout),0.549,-3.589,0.0404,0.000785,0.288
Uprising,0.602,-4.046,0.0775,0.000202,0.117
Used to Be,0.201,-21.798,0.0334,0.989,0.0881
Vagabond,0.545,-3.968,0.0281,0.0888,0.0765
Vague,0.32,-17.843,0.0356,0.881,0.121
Valse Lente,0.366,-26.901,0.0402,0.996,0.179
Vamos,0.52,-3.66,0.0839,0.00209,0.148
Venom,0.357,-6.103,0.0534,0.159,0.146
Video Games - Remastered,0.236,-9.595,0.0348,0.811,0.087
Video Killed The Radio Star,0.68,-11.548,0.0754,0.103,0.204
Virtual Insanity - Remastered,0.651,-4.717,0.101,0.13,0.148
Viva La Vida,0.485,-7.115,0.0289,0.0941,0.109
Voices,0.589,-2.521,0.121,0.000116,0.0628
Wait For Me,0.465,-7.786,0.0648,0.00987,0.373
Waiting,0.236,-10.085,0.0325,0.975,0.116
Waiting For Tomorrow (feat. Mike Shinoda),0.507,-4.084,0.141,0.00731,0.562
Waiting On the World to Change,0.577,-5.82,0.115,0.159,0.249
Waiting like the Storm,0.162,-20.696,0.0341,0.946,0.101
War,0.641,-6.281,0.0323,0.079,0.0708
Wash It All Away,0.485,-3.1,0.0738,2.08E-05,0.267
Watching Clouds Disappear,0.495,-26.317,0.0362,0.99,0.113
Water Colors,0.465,-19.328,0.0386,0.633,0.085
Water Lillies,0.234,-15.991,0.0368,0.848,0.111
Watersong,0.656,-20.337,0.0373,0.809,0.0874
Wave of Mutilation,0.481,-13.5,0.0342,0.842,0.105
We Are Your Friends - Justice Vs Simian,0.615,1.342,0.119,0.0104,0.178
We Wait,0.387,-8.259,0.0353,0.654,0.163
Welcome Home,0.442,-5.27,0.11,0.00648,0.0887
"Welcome Home, Son",0.601,-9.464,0.0296,0.743,0.143
What I Like About You,0.542,-9.637,0.0549,0.319,0.171
What Should Have Been,0.322,-17.948,0.0515,0.994,0.122
What You Love You Must Love Now,0.256,-10.865,0.0306,0.367,0.119
What's Good,0.542,-14.518,0.0404,0.935,0.182
When The World Stood Still,0.461,-22.104,0.0509,0.989,0.11
When They Come,0.501,-14.959,0.0269,0.922,0.115
When You Left,0.56,-15.918,0.0324,0.984,0.108
Where Your Mind Wants to Go - RONE Remix,0.651,-8.941,0.0458,0.333,0.101
While the Rest of the World Sleeps,0.423,-21.088,0.0378,0.988,0.108
Whiskey In The Jar,0.511,-3.751,0.0413,5.36E-06,0.19
White Lies,0.336,-5.675,0.0739,0.00797,0.445
White Lies - Guy Arthur Remix,0.656,-4.461,0.0936,0.00428,0.192
White Sparks,0.574,-22.763,0.0413,0.989,0.117
Whitehaven,0.498,-19.819,0.0426,0.983,0.0924
Why Can't We Be Friends?,0.776,-9.044,0.0388,0.19,0.506
Wild Trails,0.213,-14.347,0.0289,0.742,0.149
Wild Wild Son - Club Mix,0.526,-4.332,0.0659,0.00138,0.0975
Willet,0.425,-14.064,0.0322,0.967,0.16
Winter Scenery,0.79,-25.43,0.0853,0.993,0.102
Wish I Was Better,0.732,-13.086,0.111,0.747,0.143
Wish You Were Here - 2011 Remastered Version,0.481,-15.73,0.0414,0.735,0.832
Wished,0.445,-7.65,0.0261,0.332,0.0576
Without,0.523,-4.415,0.0467,0.000357,0.0944
Wolkendans,0.38,-27.118,0.0465,0.996,0.115
Wonderful Together (feat. Envy Monroe),0.591,-3.785,0.0404,0.0484,0.108
Wonderwall,0.412,-5.613,0.037,0.00214,0.134
Woodland Heart,0.516,-20.473,0.0312,0.84,0.135
Words I Heard,0.124,-11.392,0.0335,0.228,0.147
Worlds Collide - Edison Cole Remix,0.631,-4.114,0.0515,0.0149,0.103
Would You Rather,0.482,-10.926,0.0309,0.936,0.104
Wrong Way,0.663,-6.103,0.0395,0.0655,0.107
Yam Yam,0.445,-9.004,0.0316,0.319,0.107
You Are Safe With Me,0.392,-27.643,0.0312,0.99,0.1
You Can't Rely on My Love,0.686,-7.247,0.185,0.0534,0.44
You Get What You Give,0.621,-5.396,0.0302,0.17,0.0875
You Were Bored,0.291,-10.33,0.0305,0.781,0.113
"You're Gonna Go Far, Kid",0.547,-5.135,0.0658,0.00485,0.247
You're My Best Friend - Remastered 2011,0.518,-7.025,0.0452,0.158,0.0715
Your Turn Now,0.634,-9.503,0.0277,0.819,0.113
Youth,0.588,-12.71,0.0492,0.61,0.122
alpha waves,0.561,-16.989,0.0281,0.795,0.115
blue,0.725,-14.065,0.255,0.668,0.0955
coeur noir,0.235,-21.173,0.0712,0.926,0.069
comethru,0.795,-11.991,0.0574,0.607,0.623
cry on airplanes,0.763,-7.07,0.0683,0.548,0.116
i don't want to watch the world end with someone else,0.535,-9.343,0.0607,0.771,0.111
lovely (with Khalid),0.351,-10.109,0.0333,0.934,0.095
mellow,0.609,-15.792,0.0322,0.985,0.112
no song without you,0.778,-12.729,0.0359,0.463,0.11
pass you by,0.51,-6.883,0.0287,0.892,0.133
the frost,0.259,-18.89,0.0594,0.956,0.0923
the theme song,0.604,-27.007,0.0386,0.986,0.105
when the party's over,0.367,-14.084,0.0972,0.978,0.0897
windcatcher,0.402,-20.615,0.0603,0.961,0.0921
yellow is the color of her eyes,0.452,-7.351,0.0255,0.757,0.14
you broke me first,0.642,-9.386,0.0545,0.786,0.0906
you were good to me,0.561,-15.099,0.0404,0.913,0.112
Aefre,0.377,-28.435,0.0397,0.994,0.0991
